年/月/日,時:分:秒,M-7017Z AI0,M-7017Z AI1,M-7017Z AI2,M-7017Z AI3,M-7017Z AI4,M-7017Z AI5,M-7017Z AI6,M-7017Z AI7,M-7017Z AI8,M-7017Z AI9,m7033 Input Register 0(Temp 1),m7033 Input Register 1,m7033 Input Register 2,$C4M3ro30,power_meter Holding Register 42(Voltage),power_meter Holding Register 43(Ampere),pm-3133 Input Register 4352,pm-3133 Input Register 4353,pm-3133 Input Register 4354,pm-3133 Input Register 4355,pm-3133 Input Register 4356,pm-3133 Input Register 4357,pm-3133 Input Register 4358,pm-3133 Input Register 4359,pm-3133 Input Register 4360,pm-3133 Input Register 4361,pm-3133 Input Register 4362,pm-3133 Input Register 4363,pm-3133 Input Register 4364,pm-3133 Input Register 4365,pm-3133 Input Register 4366,pm-3133 Input Register 4367,pm-3133 Input Register 4368,pm-3133 Input Register 4369,pm-3133 Input Register 4370,pm-3133 Input Register 4371,pm-3133 Input Register 4372,pm-3133 Input Register 4373,pm-3133 Input Register 4374,pm-3133 Input Register 4375,pm-3133 Input Register 4376,pm-3133 Input Register 4377,pm-3133 Input Register 4378,,模式
2018/06/14,13:00:01,0.010,0.000,-0.010,0.060,0.030,0.020,-0.040,-0.020,0.020,0.070,20510,-32768,-32768,$C4M3ro30,201.400,13,-11869,17112,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,1726,17243,0,0,0,0,0,0,0,,Period
2018/06/14,13:05:00,0.010,-0.010,-0.030,0.050,0.020,0.010,-0.050,-0.030,0.020,0.050,19669,-32768,-32768,$C4M3ro30,201.000,7,-20927,17110,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,-8825,17240,0,0,0,0,0,0,0,,Period
2018/06/14,13:10:00,0.010,-0.010,-0.020,0.050,0.010,0.010,-0.040,-0.040,0.010,0.060,18830,-32768,-32768,$C4M3ro30,201.000,6,-9892,17110,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,2660,17241,0,0,0,0,0,0,0,,Period
2018/06/14,13:15:00,0.020,0.000,-0.020,0.050,0.020,0.010,-0.050,-0.030,0.020,0.060,18612,-32768,-32768,$C4M3ro30,201.000,6,-5168,17112,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,8774,17243,0,0,0,0,0,0,0,,Period
2018/06/14,13:20:00,0.010,0.000,-0.010,0.050,0.020,0.010,-0.050,-0.030,0.010,0.050,18404,-32768,-32768,$C4M3ro30,201.000,7,14432,17112,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,28059,17242,0,0,0,0,0,0,0,,Period
2018/06/14,13:25:00,0.000,-0.020,-0.030,0.060,0.010,0.000,-0.050,-0.030,0.010,0.050,18039,-32768,-32768,$C4M3ro30,200.900,6,10312,17112,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,23159,17242,0,0,0,0,0,0,0,,Period
2018/06/14,13:30:00,0.030,0.000,-0.020,0.050,0.030,0.000,-0.030,-0.030,0.010,0.060,17360,-32768,-32768,$C4M3ro30,200.800,5,-509,17111,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,12741,17242,0,0,0,0,0,0,0,,Period
2018/06/14,13:35:00,0.000,-0.010,-0.030,0.040,0.010,0.020,-0.030,-0.030,0.020,0.060,16493,-32768,-32768,$C4M3ro30,200.800,4,-8631,17111,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,4341,17242,0,0,0,0,0,0,0,,Period
2018/06/14,13:40:00,0.010,0.000,-0.020,0.050,0.020,0.020,-0.050,-0.020,0.020,0.060,16220,-32768,-32768,$C4M3ro30,200.700,3,-3801,17111,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,8826,17242,0,0,0,0,0,0,0,,Period
2018/06/14,13:45:00,0.010,0.000,-0.020,0.050,0.020,0.010,-0.040,-0.020,0.000,0.050,15343,-32768,-32768,$C4M3ro30,200.700,3,-18813,17111,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,-5958,17241,0,0,0,0,0,0,0,,Period
2018/06/14,13:50:00,0.000,-0.020,-0.030,0.040,0.010,0.000,-0.050,-0.030,0.010,0.040,15364,-32768,-32768,$C4M3ro30,200.700,3,-7329,17111,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,5409,17242,0,0,0,0,0,0,0,,Period
